Country,Impressions,Gender
Canada,710000000,male results
United Kingdom,2300000000,male results
United States,7900000000,male results
Canada,1100000000,female results
United Kingdom,2700000000,female results
United States,10000000000,female results
Canada,1800000000,female and male results
United Kingdom,5000000000,female and male results
United States,18000000000,female and male results
Canada,1900000000,unknown gender
United Kingdom,6800000000,unknown gender
United States,19000000000,unknown gender
