Country,Impressions,Status
Canada,0,Parent results
United Kingdom,0,Parent results
United States,140000,Parent results
Canada,0,Not Parent results
United Kingdom,2000,Not Parent results
United States,160000,Not Parent results
Canada,40,unknown parent results
United Kingdom,0,unknown parent results
United States,60000,unknown parent results
