Country,Impressions,Gender
Canada,500000000,male results
United Kingdom,360000000,male results
United States,6000000000,male results
Canada,470000000,female results
United Kingdom,340000000,female results
United States,5900000000,female results
Canada,970000000,female and male results
United Kingdom,700000000,female and male results
United States,12000000000,female and male results
Canada,1400000000,unknown gender
United Kingdom,620000000,unknown gender
United States,19000000000,unknown gender
