Country,Impressions,Gender
Canada,570000000,male results
United Kingdom,880000000,male results
United States,4000000000,male results
Canada,590000000,female results
United Kingdom,590000000,female results
United States,2600000000,female results
Canada,1200000000,female and male results
United Kingdom,1500000000,female and male results
United States,6600000000,female and male results
Canada,2400000000,unknown gender
United Kingdom,2300000000,unknown gender
United States,9600000000,unknown gender
