Country,Impressions,Gender
Canada,370000000,male results
United Kingdom,800000000,male results
United States,3200000000,male results
Canada,300000000,female results
United Kingdom,600000000,female results
United States,2500000000,female results
Canada,670000000,female and male results
United Kingdom,1400000000,female and male results
United States,5700000000,female and male results
Canada,730000000,unknown gender
United Kingdom,1700000000,unknown gender
United States,7200000000,unknown gender
