Country,impressions,Parental status
Canada,470000000,Parent results
United Kingdom,490000000,Parent results
United States,5600000000,Parent results
Canada,1100000000,Not Parent results
United Kingdom,1400000000,Not Parent results
United States,9700000000,Not Parent results
Canada,2200000000,unknown parent results
United Kingdom,3200000000,unknown parent results
United States,21000000000,unknown parent results
