Country,Impressions,Status
Canada,0,Parent results
United Kingdom,40000,Parent results
United States,100000,Parent results
Canada,10000,Not Parent results
United Kingdom,210000,Not Parent results
United States,800000,Not Parent results
Canada,500,unknown parent results
United Kingdom,3000,unknown parent results
United States,4000,unknown parent results
