Country,Impressions,Gender
Canada,2200000000,male results
United Kingdom,1800000000,male results
United States,12000000000,male results
Canada,1700000000,female results
United Kingdom,860000000,female results
United States,7400000000,female results
Canada,3900000000,female and male results
United Kingdom,2600000000,female and male results
United States,19000000000,female and male results
Canada,3500000000,unknown gender
United Kingdom,5200000000,unknown gender
United States,36000000000,unknown gender
