Country,Impressions,Status
Canada,1200000,Parent results
United Kingdom,9700000,Parent results
United States,18000000,Parent results
Canada,2900000,Not Parent results
United Kingdom,19000000,Not Parent results
United States,28000000,Not Parent results
Canada,250000,unknown parent results
United Kingdom,560000,unknown parent results
United States,2000000,unknown parent results
