Country,Impressions,Gender
Canada,2000000,male results
United Kingdom,8400000,male results
United States,17000000,male results
Canada,2200000,female results
United Kingdom,21000000,female results
United States,29000000,female results
Canada,4200000,female and male results
United Kingdom,29000000,female and male results
United States,46000000,female and male results
Canada,150000,unknown gender
United Kingdom,460000,unknown gender
United States,920000,unknown gender
