Country,Impressions,Gender
Canada,2400000000,male results
United Kingdom,1400000000,male results
United States,13000000000,male results
Canada,2100000000,female results
United Kingdom,740000000,female results
United States,9800000000,female results
Canada,4500000000,female and male results
United Kingdom,2100000000,female and male results
United States,23000000000,female and male results
Canada,4700000000,unknown gender
United Kingdom,2000000000,unknown gender
United States,27000000000,unknown gender
