Country,Impressions,Gender
Canada,900000000,male results
United Kingdom,1300000000,male results
United States,9900000000,male results
Canada,850000000,female results
United Kingdom,1100000000,female results
United States,9300000000,female results
Canada,1800000000,female and male results
United Kingdom,2400000000,female and male results
United States,19000000000,female and male results
Canada,2700000000,unknown gender
United Kingdom,4500000000,unknown gender
United States,28000000000,unknown gender
