Country,Impressions,Gender
Canada,110000000,male results
United Kingdom,290000000,male results
United States,1300000000,male results
Canada,340000000,female results
United Kingdom,720000000,female results
United States,3600000000,female results
Canada,460000000,female and male results
United Kingdom,1000000000,female and male results
United States,4900000000,female and male results
Canada,500000000,unknown gender
United Kingdom,1300000000,unknown gender
United States,6800000000,unknown gender
