Country,Impressions,Gender
Canada,20000,male results
United Kingdom,6000,male results
United States,330000,male results
Canada,40000,female results
United Kingdom,40000,female results
United States,400000,female results
Canada,60000,female and male results
United Kingdom,40000,female and male results
United States,740000,female and male results
Canada,900,unknown gender
United Kingdom,8000,unknown gender
United States,80000,unknown gender
