Country,Impressions,Gender
Canada,1700000000,male results
United Kingdom,2600000000,male results
United States,8000000000,male results
Canada,1800000000,female results
United Kingdom,2400000000,female results
United States,8700000000,female results
Canada,3500000000,female and male results
United Kingdom,4900000000,female and male results
United States,17000000000,female and male results
Canada,4400000000,unknown gender
United Kingdom,7300000000,unknown gender
United States,31000000000,unknown gender
