Country,Impressions,Status
Canada,430000000,Parent results
United Kingdom,470000000,Parent results
United States,7300000000,Parent results
Canada,1200000000,Not Parent results
United Kingdom,1300000000,Not Parent results
United States,12000000000,Not Parent results
Canada,1500000000,unknown parent results
United Kingdom,1000000000,unknown parent results
United States,19000000000,unknown parent results
