Country,impressions,Parental status
Canada,170000000,Parent results
United Kingdom,500000000,Parent results
United States,2300000000,Parent results
Canada,400000000,Not Parent results
United Kingdom,1100000000,Not Parent results
United States,3900000000,Not Parent results
Canada,470000000,unknown parent results
United Kingdom,2000000000,unknown parent results
United States,4700000000,unknown parent results
