Country,Impressions,Gender
Canada,400000,male results
United Kingdom,520000,male results
United States,7500000,male results
Canada,470000,female results
United Kingdom,1100000,female results
United States,11000000,female results
Canada,870000,female and male results
United Kingdom,1600000,female and male results
United States,19000000,female and male results
Canada,10000,unknown gender
United Kingdom,20000,unknown gender
United States,550000,unknown gender
