Country,Impressions,Gender
Canada,870000000,male results
United Kingdom,1600000000,male results
United States,8900000000,male results
Canada,750000000,female results
United Kingdom,1300000000,female results
United States,8000000000,female results
Canada,1600000000,female and male results
United Kingdom,2900000000,female and male results
United States,17000000000,female and male results
Canada,1600000000,unknown gender
United Kingdom,5200000000,unknown gender
United States,16000000000,unknown gender
