Country,Impressions,Gender
Canada,1000000000,male results
United Kingdom,1400000000,male results
United States,8200000000,male results
Canada,1200000000,female results
United Kingdom,1100000000,female results
United States,7700000000,female results
Canada,2200000000,female and male results
United Kingdom,2400000000,female and male results
United States,16000000000,female and male results
Canada,3000000000,unknown gender
United Kingdom,3700000000,unknown gender
United States,23000000000,unknown gender
