Country,Impressions,Gender
Canada,88000000,male results
United Kingdom,140000000,male results
United States,1200000000,male results
Canada,220000000,female results
United Kingdom,340000000,female results
United States,2900000000,female results
Canada,310000000,female and male results
United Kingdom,480000000,female and male results
United States,4000000000,female and male results
Canada,260000000,unknown gender
United Kingdom,450000000,unknown gender
United States,3800000000,unknown gender
