Country,Impressions,Gender
Canada,87000000,male results
United Kingdom,200000000,male results
United States,1500000000,male results
Canada,250000000,female results
United Kingdom,470000000,female results
United States,4200000000,female results
Canada,330000000,female and male results
United Kingdom,670000000,female and male results
United States,5700000000,female and male results
Canada,400000000,unknown gender
United Kingdom,870000000,unknown gender
United States,6000000000,unknown gender
