Country,Impressions,Gender
Canada,210000000,male results
United Kingdom,920000000,male results
United States,2500000000,male results
Canada,540000000,female results
United Kingdom,1400000000,female results
United States,5600000000,female results
Canada,760000000,female and male results
United Kingdom,2300000000,female and male results
United States,8100000000,female and male results
Canada,990000000,unknown gender
United Kingdom,4000000000,unknown gender
United States,13000000000,unknown gender
