Country,Impressions,Gender
Canada,1000000000,male results
United Kingdom,1500000000,male results
United States,9100000000,male results
Canada,880000000,female results
United Kingdom,960000000,female results
United States,6500000000,female results
Canada,1900000000,female and male results
United Kingdom,2400000000,female and male results
United States,16000000000,female and male results
Canada,3100000000,unknown gender
United Kingdom,4400000000,unknown gender
United States,26000000000,unknown gender
