Country,Impressions,Gender
Canada,240000000,male results
United Kingdom,350000000,male results
United States,2400000000,male results
Canada,750000000,female results
United Kingdom,790000000,female results
United States,6800000000,female results
Canada,1000000000,female and male results
United Kingdom,1100000000,female and male results
United States,9300000000,female and male results
Canada,1300000000,unknown gender
United Kingdom,1400000000,unknown gender
United States,14000000000,unknown gender
