Country,Impressions,Status
Canada,5000,Parent results
United Kingdom,6000,Parent results
United States,20000,Parent results
Canada,80000,Not Parent results
United Kingdom,40000,Not Parent results
United States,40000,Not Parent results
Canada,70,unknown parent results
United Kingdom,70,unknown parent results
United States,2000,unknown parent results
