Country,Impressions,Gender
Canada,340000000,male results
United Kingdom,430000000,male results
United States,3900000000,male results
Canada,350000000,female results
United Kingdom,480000000,female results
United States,4300000000,female results
Canada,690000000,female and male results
United Kingdom,900000000,female and male results
United States,8200000000,female and male results
Canada,660000000,unknown gender
United Kingdom,800000000,unknown gender
United States,10000000000,unknown gender
