Country,Impressions,Gender
Canada,460000000,Parent results
United Kingdom,990000000,Parent results
United States,6400000000,Parent results
Canada,1500000000,Not Parent results
United Kingdom,3200000000,Not Parent results
United States,11000000000,Not Parent results
Canada,3200000000,unknown parent results
United Kingdom,6000000000,unknown parent results
United States,26000000000,unknown parent results
