Country,impressions,Parental status
Canada,1400000000,Parent results
United Kingdom,850000000,Parent results
United States,7600000000,Parent results
Canada,3300000000,Not Parent results
United Kingdom,2300000000,Not Parent results
United States,12000000000,Not Parent results
Canada,2900000000,unknown parent results
United Kingdom,5100000000,unknown parent results
United States,16000000000,unknown parent results
