Country,Impressions,Gender
Canada,1700000000,male results
United Kingdom,2700000000,male results
United States,7300000000,male results
Canada,1900000000,female results
United Kingdom,3100000000,female results
United States,9000000000,female results
Canada,3600000000,female and male results
United Kingdom,5800000000,female and male results
United States,16000000000,female and male results
Canada,4700000000,unknown gender
United Kingdom,7600000000,unknown gender
United States,17000000000,unknown gender
