Country,Impressions,Gender
Canada,1100000000,male results
United Kingdom,1300000000,male results
United States,6000000000,male results
Canada,1200000000,female results
United Kingdom,1300000000,female results
United States,6500000000,female results
Canada,2300000000,female and male results
United Kingdom,2600000000,female and male results
United States,13000000000,female and male results
Canada,3600000000,unknown gender
United Kingdom,3100000000,unknown gender
United States,16000000000,unknown gender
