Country,Impressions,Gender
Canada,180000000,male results
United Kingdom,320000000,male results
United States,1400000000,male results
Canada,630000000,female results
United Kingdom,1000000000,female results
United States,5500000000,female results
Canada,810000000,female and male results
United Kingdom,1300000000,female and male results
United States,6900000000,female and male results
Canada,1100000000,unknown gender
United Kingdom,2000000000,unknown gender
United States,9300000000,unknown gender
