Country,Impressions,Gender
Canada,910000000,male results
United Kingdom,1900000000,male results
United States,8900000000,male results
Canada,1100000000,female results
United Kingdom,2100000000,female results
United States,11000000000,female results
Canada,2100000000,female and male results
United Kingdom,3900000000,female and male results
United States,20000000000,female and male results
Canada,2700000000,unknown gender
United Kingdom,5600000000,unknown gender
United States,27000000000,unknown gender
