Country,Impressions,Gender
Canada,1100000000,male results
United Kingdom,1000000000,male results
United States,9500000000,male results
Canada,1100000000,female results
United Kingdom,740000000,female results
United States,7700000000,female results
Canada,2200000000,female and male results
United Kingdom,1800000000,female and male results
United States,17000000000,female and male results
Canada,2100000000,unknown gender
United Kingdom,2000000000,unknown gender
United States,22000000000,unknown gender
