Country,Impressions,Gender
Canada,740000000,male results
United Kingdom,1900000000,male results
United States,5000000000,male results
Canada,870000000,female results
United Kingdom,2200000000,female results
United States,6100000000,female results
Canada,1600000000,female and male results
United Kingdom,4000000000,female and male results
United States,11000000000,female and male results
Canada,2300000000,unknown gender
United Kingdom,6500000000,unknown gender
United States,16000000000,unknown gender
