Country,Impressions,Gender
Canada,730000000,male results
United Kingdom,2100000000,male results
United States,6000000000,male results
Canada,550000000,female results
United Kingdom,1700000000,female results
United States,4100000000,female results
Canada,1300000000,female and male results
United Kingdom,3900000000,female and male results
United States,10000000000,female and male results
Canada,2300000000,unknown gender
United Kingdom,4800000000,unknown gender
United States,21000000000,unknown gender
