Country,Impressions,Gender
Canada,5900000,male results
United Kingdom,21000000,male results
United States,87000000,male results
Canada,19000000,female results
United Kingdom,56000000,female results
United States,210000000,female results
Canada,25000000,female and male results
United Kingdom,77000000,female and male results
United States,300000000,female and male results
Canada,660000,unknown gender
United Kingdom,1700000,unknown gender
United States,8800000,unknown gender
