Country,Impressions,Gender
Canada,410000000,male results
United Kingdom,820000000,male results
United States,2900000000,male results
Canada,540000000,female results
United Kingdom,780000000,female results
United States,3400000000,female results
Canada,950000000,female and male results
United Kingdom,1600000000,female and male results
United States,6300000000,female and male results
Canada,2000000000,unknown gender
United Kingdom,3100000000,unknown gender
United States,12000000000,unknown gender
