Country,Impressions,Gender
Canada,2200000000,male results
United Kingdom,2100000000,male results
United States,11000000000,male results
Canada,1900000000,female results
United Kingdom,1200000000,female results
United States,7000000000,female results
Canada,4100000000,female and male results
United Kingdom,3300000000,female and male results
United States,18000000000,female and male results
Canada,3500000000,unknown gender
United Kingdom,6000000000,unknown gender
United States,22000000000,unknown gender
