Country,Impressions,Gender
Canada,91000000,male results
United Kingdom,190000000,male results
United States,990000000,male results
Canada,360000000,female results
United Kingdom,560000000,female results
United States,3300000000,female results
Canada,450000000,female and male results
United Kingdom,750000000,female and male results
United States,4300000000,female and male results
Canada,620000000,unknown gender
United Kingdom,900000000,unknown gender
United States,5200000000,unknown gender
