Country,Impressions,Gender
Canada,88000000,male results
United Kingdom,290000000,male results
United States,1400000000,male results
Canada,240000000,female results
United Kingdom,620000000,female results
United States,3400000000,female results
Canada,320000000,female and male results
United Kingdom,910000000,female and male results
United States,4800000000,female and male results
Canada,450000000,unknown gender
United Kingdom,1700000000,unknown gender
United States,5700000000,unknown gender
