Country,Impressions,Gender
Canada,420000000,male results
United Kingdom,550000000,male results
United States,3400000000,male results
Canada,140000000,female results
United Kingdom,180000000,female results
United States,1400000000,female results
Canada,570000000,female and male results
United Kingdom,730000000,female and male results
United States,4800000000,female and male results
Canada,520000000,unknown gender
United Kingdom,570000000,unknown gender
United States,5200000000,unknown gender
