Country,Impressions ,Status
Canada,99000000,Parent results
United Kingdom,150000000,Parent results
United States,1200000000,Parent results
Canada,410000000,Not Parent results
United Kingdom,510000000,Not Parent results
United States,3000000000,Not Parent results
Canada,560000000,unknown parent results
United Kingdom,640000000,unknown parent results
United States,5800000000,unknown parent results
