Country,Impressions,Gender
Canada,200000000,male results
United Kingdom,690000000,male results
United States,2500000000,male results
Canada,640000000,female results
United Kingdom,1700000000,female results
United States,7100000000,female results
Canada,830000000,female and male results
United Kingdom,2400000000,female and male results
United States,9600000000,female and male results
Canada,960000000,unknown gender
United Kingdom,3200000000,unknown gender
United States,11000000000,unknown gender
