Country,Impressions,Gender
Canada,1200000000,male results
United Kingdom,2700000000,male results
United States,10000000000,male results
Canada,1300000000,female results
United Kingdom,2400000000,female results
United States,12000000000,female results
Canada,2400000000,female and male results
United Kingdom,5000000000,female and male results
United States,22000000000,female and male results
Canada,3700000000,unknown gender
United Kingdom,6600000000,unknown gender
United States,37000000000,unknown gender
