Country,Impressions,Gender
Canada,1300000000,male results
United Kingdom,1500000000,male results
United States,9500000000,male results
Canada,1300000000,female results
United Kingdom,1100000000,female results
United States,8800000000,female results
Canada,2600000000,female and male results
United Kingdom,2700000000,female and male results
United States,18000000000,female and male results
Canada,3800000000,unknown gender
United Kingdom,5000000000,unknown gender
United States,30000000000,unknown gender
