Country,Impressions,Gender
Canada,580000000,male results
United Kingdom,610000000,male results
United States,5600000000,male results
Canada,800000000,female results
United Kingdom,820000000,female results
United States,7900000000,female results
Canada,1400000000,female and male results
United Kingdom,1400000000,female and male results
United States,14000000000,female and male results
Canada,1200000000,unknown gender
United Kingdom,1300000000,unknown gender
United States,13000000000,unknown gender
