Country,Impressions,Gender
Canada,320000000,male results
United Kingdom,740000000,male results
United States,2600000000,male results
Canada,190000000,female results
United Kingdom,380000000,female results
United States,1800000000,female results
Canada,510000000,female and male results
United Kingdom,1100000000,female and male results
United States,4400000000,female and male results
Canada,520000000,unknown gender
United Kingdom,1200000000,unknown gender
United States,4800000000,unknown gender
