Country,Impressions,Gender
Canada,1200000000,male results
United Kingdom,1400000000,male results
United States,12000000000,male results
Canada,1200000000,female results
United Kingdom,1300000000,female results
United States,13000000000,female results
Canada,2400000000,female and male results
United Kingdom,2700000000,female and male results
United States,24000000000,female and male results
Canada,2600000000,unknown gender
United Kingdom,2900000000,unknown gender
United States,25000000000,unknown gender
