Country,Impressions,Status
Canada,140000000,Parent results
United Kingdom,160000000,Parent results
United States,1400000000,Parent results
Canada,610000000,Not Parent results
United Kingdom,650000000,Not Parent results
United States,3200000000,Not Parent results
Canada,610000000,unknown parent results
United Kingdom,510000000,unknown parent results
United States,4200000000,unknown parent results
