Country,Impressions,Gender
Canada,1800000000,male results
United Kingdom,1600000000,male results
United States,9300000000,male results
Canada,1500000000,female results
United Kingdom,740000000,female results
United States,5600000000,female results
Canada,3300000000,female and male results
United Kingdom,2300000000,female and male results
United States,15000000000,female and male results
Canada,2800000000,unknown gender
United Kingdom,3300000000,unknown gender
United States,17000000000,unknown gender
