Country,Impressions,Gender
Canada,520000000,male results
United Kingdom,1100000000,male results
United States,5000000000,male results
Canada,360000000,female results
United Kingdom,550000000,female results
United States,3400000000,female results
Canada,880000000,female and male results
United Kingdom,1600000000,female and male results
United States,8400000000,female and male results
Canada,860000000,unknown gender
United Kingdom,1300000000,unknown gender
United States,7900000000,unknown gender
