Country,Impressions,Gender
Canada,970000000,male results
United Kingdom,1300000000,male results
United States,10000000000,male results
Canada,810000000,female results
United Kingdom,1000000000,female results
United States,9300000000,female results
Canada,1800000000,female and male results
United Kingdom,2400000000,female and male results
United States,20000000000,female and male results
Canada,2200000000,unknown gender
United Kingdom,3900000000,unknown gender
United States,25000000000,unknown gender
