Country,Impressions,Status
Canada,8800000,Parent results
United Kingdom,37000000,Parent results
United States,190000000,Parent results
Canada,13000000,Not Parent results
United Kingdom,39000000,Not Parent results
United States,120000000,Not Parent results
Canada,960000,unknown parent results
United Kingdom,3100000,unknown parent results
United States,19000000,unknown parent results
