Country,Impressions,Gender
Canada,1300000000,male results
United Kingdom,1400000000,male results
United States,14000000000,male results
Canada,1200000000,female results
United Kingdom,1000000000,female results
United States,13000000000,female results
Canada,2500000000,female and male results
United Kingdom,2400000000,female and male results
United States,27000000000,female and male results
Canada,3900000000,unknown gender
United Kingdom,5100000000,unknown gender
United States,42000000000,unknown gender
