Country,Impressions,Gender
Canada,2000000,male results
United Kingdom,2300000,male results
United States,30000000,male results
Canada,5700000,female results
United Kingdom,4600000,female results
United States,67000000,female results
Canada,7700000,female and male results
United Kingdom,6900000,female and male results
United States,97000000,female and male results
Canada,270000,unknown gender
United Kingdom,440000,unknown gender
United States,4600000,unknown gender
