Country,Impressions,Status
Canada,20000000,Parent results
United Kingdom,26000000,Parent results
United States,390000000,Parent results
Canada,35000000,Not Parent results
United Kingdom,53000000,Not Parent results
United States,570000000,Not Parent results
Canada,1600000,unknown parent results
United Kingdom,1600000,unknown parent results
United States,34000000,unknown parent results
