Country,Impressions,Gender
Canada,880000000,male results
United Kingdom,1600000000,male results
United States,9300000000,male results
Canada,1200000000,female results
United Kingdom,2400000000,female results
United States,12000000000,female results
Canada,2100000000,female and male results
United Kingdom,3900000000,female and male results
United States,22000000000,female and male results
Canada,2700000000,unknown gender
United Kingdom,4700000000,unknown gender
United States,26000000000,unknown gender
