Country,Impressions,Gender
Canada,2200000000,male results
United Kingdom,1400000000,male results
United States,9100000000,male results
Canada,1800000000,female results
United Kingdom,610000000,female results
United States,5600000000,female results
Canada,3900000000,female and male results
United Kingdom,2000000000,female and male results
United States,15000000000,female and male results
Canada,3100000000,unknown gender
United Kingdom,2300000000,unknown gender
United States,14000000000,unknown gender
