Country,Impressions,Gender
Canada,1200000000,male results
United Kingdom,1400000000,male results
United States,13000000000,male results
Canada,970000000,female results
United Kingdom,960000000,female results
United States,10000000000,female results
Canada,2200000000,female and male results
United Kingdom,2300000000,female and male results
United States,23000000000,female and male results
Canada,2000000000,unknown gender
United Kingdom,1700000000,unknown gender
United States,19000000000,unknown gender
