Country,Impressions,Gender
Canada,110000000,male results
United Kingdom,310000000,male results
United States,1900000000,male results
Canada,380000000,female results
United Kingdom,870000000,female results
United States,5500000000,female results
Canada,490000000,female and male results
United Kingdom,1200000000,female and male results
United States,7400000000,female and male results
Canada,750000000,unknown gender
United Kingdom,2500000000,unknown gender
United States,13000000000,unknown gender
