Country,Impressions,Gender
Canada,600000000,male results
United Kingdom,1200000000,male results
United States,5400000000,male results
Canada,440000000,female results
United Kingdom,690000000,female results
United States,4000000000,female results
Canada,1000000000,female and male results
United Kingdom,1900000000,female and male results
United States,9400000000,female and male results
Canada,1000000000,unknown gender
United Kingdom,1500000000,unknown gender
United States,7500000000,unknown gender
