Country,Impressions,Gender
Canada,10000,male results
United Kingdom,180000,male results
United States,1300000,male results
Canada,10000,female results
United Kingdom,70000,female results
United States,480000,female results
Canada,20000,female and male results
United Kingdom,250000,female and male results
United States,1700000,female and male results
Canada,20000,unknown gender
United Kingdom,10000,unknown gender
United States,660000,unknown gender
