Country,Impressions,Gender
Canada,130000000,male results
United Kingdom,220000000,male results
United States,1600000000,male results
Canada,410000000,female results
United Kingdom,450000000,female results
United States,4800000000,female results
Canada,540000000,female and male results
United Kingdom,670000000,female and male results
United States,6400000000,female and male results
Canada,320000000,unknown gender
United Kingdom,400000000,unknown gender
United States,4100000000,unknown gender
